user_id,full_name,username,email,role_id,department_id,status,created_date
1,Omer Assulin,omer.assulin1,omer.assulin1@grand-hotel-security.com,443,498,Disabled,2025-07-26
2,Hagit Sela,hagit.sela2,hagit.sela2@grand-hotel-security.com,189,40,Active,2024-02-03
3,Omer Ben David,omer.bendavid3,omer.bendavid3@grand-hotel-security.com,428,335,Active,2025-09-02
4,Sivan Shapira,sivan.shapira4,sivan.shapira4@grand-hotel-security.com,30,17,Inactive,2025-03-20
5,Ron Cohen,ron.cohen5,ron.cohen5@grand-hotel-security.com,421,63,Active,2025-03-31
6,Amit Friedman,amit.friedman6,amit.friedman6@grand-hotel-security.com,79,82,Active,2025-08-14
7,Eli Hazan,eli.hazan7,eli.hazan7@grand-hotel-security.com,12,320,Active,2024-01-22
8,Ariel Ben David,ariel.bendavid8,ariel.bendavid8@grand-hotel-security.com,60,334,Inactive,2025-05-24
9,David Atias,david.atias9,david.atias9@grand-hotel-security.com,300,74,Active,2025-05-10
10,Dana Mizrahi,dana.mizrahi10,dana.mizrahi10@grand-hotel-security.com,15,356,Active,2025-10-12
11,Rina Barkan,rina.barkan11,rina.barkan11@grand-hotel-security.com,121,439,Inactive,2025-05-04
12,Ariel Shapira,ariel.shapira12,ariel.shapira12@grand-hotel-security.com,442,430,Active,2025-06-13
13,Sivan Cohen,sivan.cohen13,sivan.cohen13@grand-hotel-security.com,75,39,Active,2025-02-26
14,Gal Bar,gal.bar14,gal.bar14@grand-hotel-security.com,291,45,Active,2025-03-19
15,Eden Malka,eden.malka15,eden.malka15@grand-hotel-security.com,284,263,Inactive,2026-01-20
16,Tamar Bar,tamar.bar16,tamar.bar16@grand-hotel-security.com,182,377,Active,2024-03-02
17,Shani Mizrahi,shani.mizrahi17,shani.mizrahi17@grand-hotel-security.com,493,379,Active,2025-11-04
18,Dana Golan,dana.golan18,dana.golan18@grand-hotel-security.com,309,18,Disabled,2024-09-06
19,Yuval Golan,yuval.golan19,yuval.golan19@grand-hotel-security.com,72,141,Active,2024-05-15
20,Dana Mizrahi,dana.mizrahi20,dana.mizrahi20@grand-hotel-security.com,408,69,Active,2025-12-13
21,Or Peretz,or.peretz21,or.peretz21@grand-hotel-security.com,279,491,Disabled,2024-07-18
22,Rina Amar,rina.amar22,rina.amar22@grand-hotel-security.com,113,347,Disabled,2024-07-07
23,Amit Atias,amit.atias23,amit.atias23@grand-hotel-security.com,467,421,Inactive,2025-12-28
24,Yossi Levi,yossi.levi24,yossi.levi24@grand-hotel-security.com,240,344,Active,2025-10-28
25,Gal Shalom,gal.shalom25,gal.shalom25@grand-hotel-security.com,437,280,Active,2025-03-09
26,Niv Ohana,niv.ohana26,niv.ohana26@grand-hotel-security.com,23,246,Active,2024-02-09
27,Mor Malka,mor.malka27,mor.malka27@grand-hotel-security.com,101,17,Active,2025-05-14
28,Yuval Hazan,yuval.hazan28,yuval.hazan28@grand-hotel-security.com,52,439,Active,2025-02-25
29,Shani Biton,shani.biton29,shani.biton29@grand-hotel-security.com,394,268,Active,2024-10-22
30,Eli Hazan,eli.hazan30,eli.hazan30@grand-hotel-security.com,344,33,Inactive,2025-08-04
31,Dana Bar,dana.bar31,dana.bar31@grand-hotel-security.com,8,81,Active,2025-04-05
32,Tamar Vaknin,tamar.vaknin32,tamar.vaknin32@grand-hotel-security.com,244,457,Disabled,2025-06-15
33,Sara Elbaz,sara.elbaz33,sara.elbaz33@grand-hotel-security.com,79,179,Active,2025-08-21
34,Maya Assulin,maya.assulin34,maya.assulin34@grand-hotel-security.com,198,148,Active,2025-05-02
