user_id,full_name,username,email,role_id,department_id,status,created_date
1,Shira Assulin,user1,user1@hotel.com,309,351,Disabled,2025-07-26
2,Hagit Sela,user2,user2@hotel.com,182,38,Disabled,2024-02-03
3,Shira Ben David,user3,user3@hotel.com,302,269,Active,2025-09-02
4,Eli Levi,user4,user4@hotel.com,391,68,Disabled,2025-03-20
5,Noa Cohen,user5,user5@hotel.com,298,91,Disabled,2025-03-31
6,Dana Friedman,user6,user6@hotel.com,90,143,Inactive,2025-08-14
7,Yael Levi,user7,user7@hotel.com,262,496,Active,2024-01-22
8,Omer Ben David,user8,user8@hotel.com,81,269,Disabled,2025-05-24
9,Ron Bar,user9,user9@hotel.com,97,105,Inactive,2024-02-02
10,Dana Levi,user10,user10@hotel.com,374,280,Active,2025-10-12
11,David Dahan,user11,user11@hotel.com,496,494,Disabled,2026-01-22
12,Michal Dayan,user12,user12@hotel.com,366,495,Disabled,2025-09-08
13,Gal Ben David,user13,user13@hotel.com,265,235,Active,2024-09-06
14,Amit Sela,user14,user14@hotel.com,493,419,Inactive,2024-11-12
15,Eli Bar,user15,user15@hotel.com,484,40,Inactive,2025-03-19
16,Daniel Malka,user16,user16@hotel.com,230,487,Inactive,2025-12-12
17,Maya Bar,user17,user17@hotel.com,179,391,Disabled,2024-01-05
18,Noa Mor,user18,user18@hotel.com,41,480,Disabled,2026-03-16
19,Omer Shalom,user19,user19@hotel.com,337,19,Disabled,2025-04-28
20,David Azulai,user20,user20@hotel.com,286,347,Active,2024-12-09
21,Tamar Biton,user21,user21@hotel.com,380,415,Active,2024-03-08
22,Omer Peretz,user22,user22@hotel.com,187,357,Inactive,2024-04-26
23,Eli Friedman,user23,user23@hotel.com,393,111,Inactive,2025-07-03
24,Maya Mizrahi,user24,user24@hotel.com,471,321,Disabled,2026-01-11
25,David Levi,user25,user25@hotel.com,430,395,Inactive,2025-06-30
26,Noa Dahan,user26,user26@hotel.com,180,379,Disabled,2025-04-27
27,Noa Harel,user27,user27@hotel.com,169,334,Active,2025-03-24
28,Michal Levi,user28,user28@hotel.com,418,266,Inactive,2024-10-02
29,David Malka,user29,user29@hotel.com,250,284,Disabled,2026-01-03
30,Yael Cohen,user30,user30@hotel.com,484,406,Inactive,2025-07-06
31,Amit Mor,user31,user31@hotel.com,236,287,Inactive,2024-08-27
32,Avi Azulai,user32,user32@hotel.com,351,389,Disabled,2026-01-09
33,Noa Bar,user33,user33@hotel.com,92,142,Inactive,2025-04-05
34,Maya Harel,user34,user34@hotel.com,484,330,Disabled,2024-10-04
35,Maya Shalom,user35,user35@hotel.com,16,434,Disabled,2024-03-23
36,Avi Shalom,user36,user36@hotel.com,176,21,Inactive,2024-04-02
37,Gal Katz,user37,user37@hotel.com,43,463,Disabled,2025-04-02
38,Eli Shalom,user38,user38@hotel.com,205,381,Active,2026-03-18
39,Ron Peretz,user39,user39@hotel.com,348,296,Disabled,2025-08-27
